   5.5500000e+01   6.9500000e+01
   4.1000000e+01   8.1500000e+01
   5.3500000e+01   8.6000000e+01
   4.6000000e+01   8.4000000e+01
   4.1000000e+01   7.3500000e+01
   5.1500000e+01   6.9000000e+01
   5.1000000e+01   6.2500000e+01
   4.2000000e+01   7.5000000e+01
   5.3500000e+01   8.3000000e+01
   5.7500000e+01   7.1000000e+01
   4.2500000e+01   7.2500000e+01
   4.1000000e+01   8.0000000e+01
   4.6000000e+01   8.2000000e+01
   4.6000000e+01   6.0500000e+01
   4.9500000e+01   7.6000000e+01
   4.1000000e+01   7.6000000e+01
   4.8500000e+01   7.2500000e+01
   5.1500000e+01   8.2500000e+01
   4.4500000e+01   7.0500000e+01
   4.4000000e+01   6.6000000e+01
   3.8500000e+01   7.6000000e+01
   4.0000000e+01   7.5000000e+01
   3.7500000e+01   6.3000000e+01
   2.4500000e+01   5.8000000e+01
   3.0000000e+01   6.7000000e+01
   3.3000000e+01   5.6000000e+01
   5.6500000e+01   6.1000000e+01
   4.1000000e+01   5.7000000e+01
   4.9500000e+01   6.3000000e+01
   3.4500000e+01   7.2500000e+01
   3.2500000e+01   6.9000000e+01
   3.6000000e+01   7.3000000e+01
   2.7000000e+01   5.3500000e+01
   4.1000000e+01   6.3500000e+01
   2.9500000e+01   5.2500000e+01
   2.0000000e+01   6.5500000e+01
   3.8000000e+01   6.5000000e+01
   1.8500000e+01   7.4500000e+01
   1.6000000e+01   7.2500000e+01
   3.3500000e+01   6.8000000e+01
